id,lema,oracion,clase,stat,dyn,tel,pun,transitivo,pronominal,fuente,revisar
1,saber,Juan sabe la respuesta.,State,1,0,0,0,1,0,simple,False
2,creer,Juan cree la historia.,State,1,0,0,0,1,0,simple,False
3,tener,Juan tiene un coche.,State,1,0,0,0,1,0,simple,False
4,contener,La caja contiene agua.,State,1,0,0,0,1,0,simple,False
5,pertenecer,Juan pertenece al club.,State,1,0,0,0,0,0,simple,False
6,existir,El problema existe.,State,1,0,0,0,0,0,simple,False
7,costar,El libro cuesta diez euros.,State,1,0,0,0,0,0,simple,False
8,necesitar,Juan necesita ayuda.,State,1,0,0,0,1,0,simple,False
9,depender,El resultado depende de Juan.,State,1,0,0,0,0,0,simple,False
10,ignorar,Juan ignora la respuesta.,State,1,0,0,0,1,0,simple,False
11,odiar,Juan odia el ruido.,State,1,0,0,0,1,0,simple,False
12,amar,Juan ama a María.,State,1,0,0,0,1,0,simple,False
13,recordar,Juan recuerda la fecha.,State,1,0,0,0,1,0,simple,False
14,olvidar,Juan olvida las fechas.,State,1,0,0,0,1,0,simple,False
15,correr,Juan corrió.,Activity,0,1,0,0,0,0,simple,False
16,nadar,Juan nadó.,Activity,0,1,0,0,0,0,simple,False
17,hablar,Juan habló.,Activity,0,1,0,0,0,0,simple,False
18,caminar,Juan caminó.,Activity,0,1,0,0,0,0,simple,False
19,respirar,Juan respiró.,Activity,0,1,0,0,0,0,simple,False
20,trabajar,Juan trabajó.,Activity,0,1,0,0,0,0,simple,False
21,estudiar,Juan estudió matemáticas.,Activity,0,1,0,0,1,0,simple,False
22,jugar,Juan jugó.,Activity,0,1,0,0,0,0,simple,False
23,escuchar,Juan escuchó música.,Activity,0,1,0,0,1,0,simple,False
24,llorar,Juan lloró.,Activity,0,1,0,0,0,0,simple,False
25,reír,Juan rió.,Activity,0,1,0,0,0,0,simple,False
26,volar,El pájaro voló.,Activity,0,1,0,0,0,0,simple,False
27,brillar,La estrella brilló.,Activity,0,1,0,0,0,0,simple,False
28,fluir,El río fluyó.,Activity,0,1,0,0,0,0,simple,False
29,dormir,Juan durmió.,Activity,0,1,0,0,0,0,simple,False
30,mirar,Juan miró el paisaje.,Activity,0,1,0,0,1,0,simple,False
31,buscar,Juan buscó trabajo.,Activity,0,1,0,0,1,0,simple,False
32,desear,Juan desea un cambio.,State,1,0,0,0,1,0,simple,False
33,preferir,Juan prefiere el café.,State,1,0,0,0,1,0,simple,False
34,suponer,Juan supone lo peor.,State,1,0,0,0,1,0,simple,False
35,entender,Juan entiende la lección.,State,1,0,0,0,1,0,simple,False
36,comprender,Juan comprende el problema.,State,1,0,0,0,1,0,simple,False
37,dudar,Juan duda de todo.,State,1,0,0,0,0,0,simple,False
38,temer,Juan teme la oscuridad.,State,1,0,0,0,1,0,simple,False
39,respetar,Juan respeta las normas.,State,1,0,0,0,1,0,simple,False
40,admirar,Juan admira a su maestro.,State,1,0,0,0,1,0,simple,False
41,envidiar,Juan envidia a su hermano.,State,1,0,0,0,1,0,simple,False
42,merecer,Juan merece un premio.,State,1,0,0,0,1,0,simple,False
43,valer,El anillo vale mucho.,State,1,0,0,0,0,0,simple,False
44,bastar,El dinero basta.,State,1,0,0,0,0,0,simple,False
45,sobrar,La comida sobra.,State,1,0,0,0,0,0,simple,False
46,bailar,Juan bailó.,Activity,0,1,0,0,0,0,simple,False
47,cantar,Juan cantó canciones.,Activity,0,1,0,0,1,0,simple,False
48,leer,Juan leyó novelas.,Activity,0,1,0,0,1,0,simple,False
49,escribir,Juan escribió cartas.,Activity,0,1,0,0,1,0,simple,False
50,escribir,Juan escribió la novela.,Accomplishment,0,0,1,0,1,0,simple,False
51,pedalear,Juan pedaleó.,Activity,0,1,0,0,0,0,simple,False
52,rodar,La pelota rodó.,Activity,0,1,0,0,0,0,simple,False
53,temblar,El suelo tembló.,Activity,0,1,0,0,0,0,simple,False
54,vibrar,El teléfono vibró.,Activity,0,1,0,0,0,0,simple,False
55,ronronear,El gato ronroneó.,Activity,0,1,0,0,0,0,simple,False
56,rugir,El león rugió.,Activity,0,1,0,0,0,0,simple,False
57,susurrar,Juan susurró secretos.,Activity,0,1,0,0,1,0,simple,False
58,gotear,El grifo goteó.,Activity,0,1,0,0,0,0,simple,False
59,escalar,Juan escaló montañas.,Activity,0,1,0,0,1,0,simple,False
60,navegar,Juan navegó.,Activity,0,1,0,0,0,0,simple,False
61,vagar,Juan vagó.,Activity,0,1,0,0,0,0,simple,False
62,merodear,Juan merodeó.,Activity,0,1,0,0,0,0,simple,False
63,llegar,Juan llegó.,Achievement,0,0,1,1,1,1,simple,False
64,morir,El abuelo se murió.,Achievement,0,0,1,1,0,1,simple,False
65,nacer,El bebé nació.,Achievement,0,0,1,1,0,0,simple,False
66,encontrar,Juan se encontró una moneda.,Achievement,0,0,1,1,1,1,simple,False
67,perder,Juan se perdió.,Achievement,0,0,1,1,1,1,simple,False
68,ganar,Juan ganó el premio.,Achievement,0,0,1,1,1,0,simple,False
69,romper,El vaso se rompió.,Achievement,0,0,1,1,1,1,simple,False
70,reconocer,Juan reconoció el error.,Achievement,0,0,1,1,0,0,simple,False
71,descubrir,Juan descubrió el secreto.,Achievement,0,0,1,1,1,0,simple,False
72,despertar,Juan se despertó.,Achievement,0,0,1,1,0,1,simple,False
73,caer,Juan se cayó.,Achievement,0,0,1,1,1,1,simple,False
74,salir,Juan salió.,Achievement,0,0,1,1,0,0,simple,False
75,entrar,Juan entró.,Achievement,0,0,1,1,0,0,simple,False
76,terminar,Juan terminó el trabajo.,Achievement,0,0,1,1,1,0,simple,False
77,empezar,Juan empezó el discurso.,Achievement,0,0,1,1,1,0,simple,False
78,estallar,La bomba estalló.,Achievement,0,0,1,1,0,0,simple,False
79,estornudar,Juan estornudó.,Semelfactive,0,0,0,1,0,0,simple,False
80,toser,Juan tosió.,Semelfactive,0,0,0,1,0,0,simple,False
81,parpadear,Juan parpadeó.,Semelfactive,0,0,0,1,0,0,simple,False
82,golpear,Juan golpeó la mesa.,Semelfactive,0,1,0,1,1,0,simple,False
83,saltar,Juan saltó la valla.,Semelfactive,0,1,0,1,1,0,simple,False
84,tocar,Juan tocó el timbre.,Semelfactive,0,0,0,1,1,0,simple,False
85,gritar,Juan gritó.,Semelfactive,0,0,0,1,0,0,simple,False
