fecha,oracion,lema,clase_predicha,clase_correcta,vector,fuente
2026-07-12 09:03:20,ayer Juan corrió vigorosamente hasta el parque,vigorosamente,activity,active_accomplishment,stat=0.00 dyn=1.00 tel=0.00 pun=0.00 conf=1.00 (contextual) complejo={corrió(3)} · Pruebas: P2 'vigorosamente'→dinámico ✓coherente con Activity wrappers: vigorosamente'(vigorosamente)·yesterday'(ayer),correccion_usuario
2026-07-12 09:04:23,ayer Juan corrió vigorosamente hasta el parque,vigorosamente,activity,active_accomplishment,stat=0.00 dyn=1.00 tel=0.00 pun=0.00 conf=1.00 (contextual) complejo={corrió(3)} · Pruebas: P2 'vigorosamente'→dinámico ✓coherente con Activity wrappers: vigorosamente'(vigorosamente)·yesterday'(ayer),correccion_usuario
2026-07-14 12:36:45,Juan le dio un regalo a María,dar,accomplishment,accomplishment,"stat=0.30 dyn=0.24 tel=0.02 pun=0.68 conf=0.75 (contextual) complejo={dio(3), regalo(5)} ditrans=transferencia(lexico)",correccion_usuario
2026-07-14 17:43:33,El perro corrió hasta la casa,correr,activity,active_accomplishment,stat=0.00 dyn=1.00 tel=0.16 pun=0.00 conf=0.92 (contextual) complejo={corrió(3)},correccion_usuario
2026-07-14 17:43:40,El perro corrió hasta la casa,correr,activity,active_accomplishment,stat=0.00 dyn=1.00 tel=0.16 pun=0.00 conf=0.92 (contextual) complejo={corrió(3)},correccion_usuario
2026-07-20 19:38:45,se venden tacos,vender,activity,accomplishment,"stat=0.01 dyn=0.55 tel=0.98 pun=0.51 conf=0.63 (contextual) complejo={se(1), venden(2)} gate=obj_desnudo→Activity CAUSE[heuristico_anticausativo_se,baja]",correccion_usuario
2026-07-20 19:47:18,se venden tacos,vender,activity,accomplishment,"stat=0.01 dyn=0.55 tel=0.98 pun=0.51 conf=0.63 (contextual) complejo={se(1), venden(2)} gate=obj_desnudo→Activity CAUSE[heuristico_anticausativo_se,baja]",correccion_usuario
2026-07-20 20:43:07,se venden casas,vender,activity,accomplishment,"stat=0.01 dyn=0.55 tel=0.98 pun=0.24 conf=0.74 (contextual) complejo={se(1), venden(2)} gate=obj_desnudo→Activity",correccion_usuario
2026-07-23 20:02:00,la bomba explotó,explotar,activity,achievement,stat=0.00 dyn=0.01 tel=0.97 pun=1.00 conf=0.98 (contextual) complejo={explotó(3)} gate=obj_desnudo→Activity,correccion_usuario
2026-07-23 20:03:46,el globo explotó,explotar,activity,achievement,stat=0.00 dyn=0.01 tel=0.99 pun=1.00 conf=0.99 (contextual) complejo={explotó(3)} gate=obj_desnudo→Activity,correccion_usuario
