lema,stat,dyn,tel,pun,clase,transitivo,pronominal,confianza,notas,hoja,clase_original,ambiguo_lexico
saber,1,0.0,0,0,State,1,0,1.0,Estado cognitivo puro.,Grupo A — States y Activities,State,False
creer,1,0.0,0,0,State,1,0,1.0,Estado cognitivo / doxástico.,Grupo A — States y Activities,State,False
tener,1,0.0,0,0,State,1,0,1.0,Estado de posesión o pertenencia.,Grupo A — States y Activities,State,False
contener,1,0.0,0,0,State,1,0,1.0,Estado relacional / espacial.,Grupo A — States y Activities,State,False
pertenecer,1,0.0,0,0,State,0,0,1.0,"Estado relacional (intransitivo, rige preposición a).",Grupo A — States y Activities,State,False
existir,1,0.0,0,0,State,0,0,1.0,Estado existencial.,Grupo A — States y Activities,State,False
costar,1,0.0,0,0,State,0,0,1.0,Estado de valor o precio.,Grupo A — States y Activities,State,False
necesitar,1,0.0,0,0,State,1,0,1.0,Estado de carencia psicológica o material.,Grupo A — States y Activities,State,False
depender,1,0.0,0,0,State,0,0,1.0,Estado relacional (rige preposición de).,Grupo A — States y Activities,State,False
ignorar,1,0.0,0,0,State,1,0,1.0,Estado cognitivo (desconocimiento).,Grupo A — States y Activities,State,False
odiar,1,0.0,0,0,State,1,0,1.0,Estado emotivo / psicológico.,Grupo A — States y Activities,State,False
amar,1,0.0,0,0,State,1,0,1.0,Estado emotivo / psicológico.,Grupo A — States y Activities,State,False
recordar,1,0.5,0,0,State,1,0,0.5,Aislado como Estado aquí (retener en memoria). Puede ser Achievement (acordarse de pronto).,Grupo A — States y Activities,State,False
olvidar,1,0.5,0,0,State,1,0,0.5,Aislado como Estado aquí (no saber). Frecuentemente Achievement (perder de pronto).,Grupo A — States y Activities,State,False
correr,0,1.0,0,0,Activity,0,0,1.0,Actividad de desplazamiento motriz.,Grupo A — States y Activities,Activity,False
nadar,0,1.0,0,0,Activity,0,0,1.0,Actividad de desplazamiento motriz. (Aparecía duplicado en la imagen).,Grupo A — States y Activities,Activity,False
hablar,0,1.0,0,0,Activity,0,0,1.0,Actividad de emisión (frecuentemente intransitivo).,Grupo A — States y Activities,Activity,False
caminar,0,1.0,0,0,Activity,0,0,1.0,Actividad de desplazamiento motriz.,Grupo A — States y Activities,Activity,False
respirar,0,1.0,0,0,Activity,0,0,1.0,Actividad fisiológica.,Grupo A — States y Activities,Activity,False
trabajar,0,1.0,0,0,Activity,0,0,1.0,Actividad general durativa.,Grupo A — States y Activities,Activity,False
estudiar,0,1.0,0,0,Activity,1,0,1.0,Actividad intelectual (puede o no llevar objeto).,Grupo A — States y Activities,Activity,False
jugar,0,1.0,0,0,Activity,0,0,1.0,Actividad lúdica (típicamente intransitivo / preposicional).,Grupo A — States y Activities,Activity,False
escuchar,0,1.0,0,0,Activity,1,0,1.0,Actividad perceptual dirigida.,Grupo A — States y Activities,Activity,False
llorar,0,1.0,0,0,Activity,0,0,1.0,Actividad expresiva / fisiológica.,Grupo A — States y Activities,Activity,False
reír,0,1.0,0,0,Activity,0,0,1.0,Actividad expresiva / fisiológica.,Grupo A — States y Activities,Activity,False
volar,0,1.0,0,0,Activity,0,0,1.0,Actividad de desplazamiento.,Grupo A — States y Activities,Activity,False
brillar,0,1.0,0,0,Activity,0,0,1.0,Actividad de emisión de luz (a veces conceptualizado como Estado).,Grupo A — States y Activities,Activity,False
fluir,0,1.0,0,0,Activity,0,0,1.0,Actividad de movimiento continuo.,Grupo A — States y Activities,Activity,False
dormir,0,1.0,0,0,Activity,0,0,1.0,Estado fisiológico que la gramática trata típicamente como Actividad por su dinamismo temporal.,Grupo A — States y Activities,Activity,False
mirar,0,1.0,0,0,Activity,1,0,1.0,Actividad perceptual dirigida.,Grupo A — States y Activities,Activity,False
buscar,0,1.0,0,0,Activity,1,0,1.0,Actividad de indagación.,Grupo A — States y Activities,Activity,False
desear,1,0.0,0,0,State,1,0,1.0,Estado emotivo / volitivo.,Grupo A — States y Activities,State,False
preferir,1,0.0,0,0,State,1,0,1.0,Estado volitivo.,Grupo A — States y Activities,State,False
suponer,1,0.0,0,0,State,1,0,1.0,Estado cognitivo.,Grupo A — States y Activities,State,False
entender,1,0.0,0,0,State,1,0,1.0,Estado cognitivo (a menudo resultativo).,Grupo A — States y Activities,State,False
comprender,1,0.0,0,0,State,1,0,1.0,Estado cognitivo profundo.,Grupo A — States y Activities,State,False
dudar,1,0.5,0,0,State,0,0,1.0,"Estado cognitivo; puede enmarcarse como proceso activo (""estar dudando"").",Grupo A — States y Activities,State,False
temer,1,0.0,0,0,State,1,0,1.0,Estado emotivo.,Grupo A — States y Activities,State,False
respetar,1,0.0,0,0,State,1,0,1.0,Estado emotivo / social.,Grupo A — States y Activities,State,False
admirar,1,0.0,0,0,State,1,0,1.0,Estado emotivo.,Grupo A — States y Activities,State,False
envidiar,1,0.0,0,0,State,1,0,1.0,Estado emotivo.,Grupo A — States y Activities,State,False
merecer,1,0.0,0,0,State,1,0,1.0,Estado relacional / de valor.,Grupo A — States y Activities,State,False
valer,1,0.0,0,0,State,0,0,1.0,"Estado de valor (el peso/precio actúa como argumento de medida, no objeto directo).",Grupo A — States y Activities,State,False
bastar,1,0.0,0,0,State,0,0,1.0,Estado de suficiencia.,Grupo A — States y Activities,State,False
sobrar,1,0.0,0,0,State,0,0,1.0,Estado de exceso.,Grupo A — States y Activities,State,False
bailar,0,1.0,0,0,Activity,0,0,1.0,Actividad motriz (frecuentemente intransitiva en su base).,Grupo A — States y Activities,Activity,False
cantar,0,1.0,0,0,Activity,1,0,1.0,Actividad de emisión sonora (admite objeto léxico).,Grupo A — States y Activities,Activity,False
leer,0,1.0,0,0,Activity,1,0,1.0,Sin objeto delimitado se clasifica como Actividad cognitiva pura.,Grupo A — States y Activities,Activity,False
escribir,0,1.0,0,0,Activity,1,0,1.0,Sin objeto delimitado se clasifica como Actividad de creación.,Grupo A — States y Activities,Activity,True
escribir,0,0.0,1,0,Accomplishment,1,0,1.0,Proceso que culmina en un cambio de estado – puede volverse Active  Accomplishment si se agrega un objeto directo,Grupo A — States y Activities,Accomplishment,True
pedalear,0,1.0,0,0,Activity,0,0,1.0,Actividad motriz continuada.,Grupo A — States y Activities,Activity,False
rodar,0,1.0,0,0,Activity,0,0,1.0,Actividad de desplazamiento o rotación.,Grupo A — States y Activities,Activity,False
temblar,0,1.0,0,0,Activity,0,0,1.0,Actividad motriz / vibratoria biológica o física.,Grupo A — States y Activities,Activity,False
vibrar,0,1.0,0,0,Activity,0,0,1.0,Actividad de emisión mecánica / física.,Grupo A — States y Activities,Activity,False
ronronear,0,1.0,0,0,Activity,0,0,1.0,Actividad de emisión sonora.,Grupo A — States y Activities,Activity,False
rugir,0,1.0,0,0,Activity,0,0,1.0,Actividad de emisión sonora.,Grupo A — States y Activities,Activity,False
susurrar,0,1.0,0,0,Activity,1,0,1.0,Actividad de emisión comunicativa.,Grupo A — States y Activities,Activity,False
gotear,0,1.0,0,0,Activity,0,0,1.0,Actividad de emisión de sustancia.,Grupo A — States y Activities,Activity,False
