lema,oracion,plantilla
escribir,Juan le escribió una carta a su madre,comunicacion
traer,María le trajo café a su jefe,transferencia
compro,Juan le compro un regalo a Maria,transferencia
acusar,"El CNE fue acusado hace unos días por la generalidad de las fuerzas políticas venezolanas de ser el verdadero y nico causante de el aplazamiento de las votaciones debido a la "" incompetencia "" de sus cinco miembros , que complicaron las ya de por sí complejas elecciones múltiples con continuas rectificaciones en las bases de datos de el proceso automatizado .",transferencia
recordar,"El partido tumultuoso y enrabietado , bastante cochambrosete , que hizo anoche el Madrid me recordó con frecuencia los arrebatos cinematográficos de el Ejército de Pancho Villa , esa ética populachera y emocionante de todas las revoluciones nobles y desarrapadas .",comunicacion
llevar,"El sábado pasado , sobre la hierba blaugrana de el Nou Camp , esta yegua viejorra y pendedera que es ahora el Real Madrid se llevó un puñado de zurriagazos de los que dejan mataduras hasta el día de la extremaunción .",transferencia
denegar,"En defensa , denegando el balón a los hombres altos de el Madrid , cosa que tres días antes no había conseguido nunca , y eso que los blancos encestaban poco desde lejos y debería haber sido posible - flotar - con más eficacia sobre la pareja Sabonis-Arlauckas .",transferencia
dejar,"Y tú con tus caras y tus nombres , nos dejaste tutear te .",transferencia
confundir,Unos cuantos estúpidos confundieron la gimnasia con la magnesia y cortaron la carrera con el pretexto de reivindicar no sé qué .,transferencia
llevar,Rominger se llevó la etapa más bonita de lo que llevamos de carrera .,transferencia
alcanzar,"El no va más lo alcanzan aquellos animales que cambian de color a el momento o incluso mudan sus pieles o plumas para adecuar se a los tonos cromáticos de el entorno , tal como hacen la liebre variable y la perdiz nival , pardas en verano y totalmente blancas en invierno .",transferencia
llevar,Esos ladrones se llevaron nuestras vacas y ovejas .,transferencia
ver,La Policía de Kwazulu lo vio todo y no hizo nada .,transferencia
saldar,"La partida la saldaron pagando un décimo de lotería y las copas de la peña , pero el ex gobernador notó que el origen de el cabreo de Corcuera era otro : - Le noté preocupado con la situación que se vive y cabreado .",transferencia
ver,"Estos compañeros de envite le han visto - un poco deprimido - , pasando el síndrome de abstinencia de el poder .",transferencia
saber,"Poco sabemos de los primeros momentos : parece que la mujer y la víctima se conocían , porque la asesina entró en la casa sin encontrar resistencia .",transferencia
resultar,A la mayoría de la gente le resultaría más útil tener acceso a wifi en un aeropuerto que el poder enviar correos electrónicos desde un avión .,transferencia
apasionar,Le apasiona la guitarra y dio un concierto allí ese mismo año .,transferencia
llevar,"La postura de RSPB también les ha llevado a enfrentar se con muchos conservacionistas importantes , desde el autor de la petición , Mark Avery , a el presentador de televisión Chris Packham .",transferencia
echar,"Pero , a el haber permitido que Glenda marque con semejante facilidad , ¿ quién le echaría la culpa ?",transferencia
permitir,"En tanto que uno de los primeros espadas de Negan ( Jeffrey Dean Morgan ) , se le permiten ciertas libertades .",transferencia
importar,"A Snowman no le importaba que Johnny Carson cogiese una escalera de mano y se sentase a el reves sobre él , añade .",transferencia
impedir,Esta visión idealizada de la monarquía de los Romanov le impedía ver el estado real de su país .,transferencia
permitir,"A el usar la antena dipolo para alcanzar una altísima resolución angular , la aproximación GCA ( por sus siglas en inglés ) les permite a los operadores terrestres de radares , que observan despliegues de precisión especial , guiar a un aeroplano en el aterrizaje , transmitiendo comandos verbales a el piloto .",transferencia
echar,"A la hora de afrontar a el gabinete , poco después de que la fuerza alemanas cruzaran la frontera , Chamberlain le echó la culpa tanto a Alemania como Austria .",transferencia
permitir,"Una vez que Hans Petterson pudo asegurar los fondos para pagar los gastos de Rona , Joliot - Curie le permitió venir y estudiar la separación de el polonio en el Instituto Curie en Paris .",transferencia
interesar,A Bloch le interesaba establecer la esperanza como un principio rector de su marxismo y enfatiza el humanismo implícito inherente a la tradición mística .,transferencia
permitir,"Defensa le permite continuar , por el momento , como secretaria general de el partido .",transferencia
anieblar,Tal vez por eso un galope de espuma le aniebla las pupilas mientras la sílaba de el tiempo descubre su cosecha y entrega su misterio a el agua agavillada .,transferencia
denegar,A el Imperio Otomano y a Rusia se les denegó el permiso de mantener su flota de guerra en el Mar Negro .,transferencia
