categoria,termino,definicion
Clases aspectuales,State (Estado),"Situación estática sin dinámica interna: saber, amar, estar roto. No progresivo."
Clases aspectuales,Activity (Actividad),"Proceso dinámico sin final inherente: correr, estudiar, comer manzanas."
Clases aspectuales,Accomplishment (Realización),"Cambio de estado gradual con final: la ropa se secó, la herida cicatrizó."
Clases aspectuales,Achievement (Logro),"Cambio de estado instantáneo: romperse, llegar, morir."
Clases aspectuales,Semelfactive (Semelfactivo),"Evento puntual sin estado resultante: toser, parpadear, golpear."
Clases aspectuales,Active Accomplishment (Realización activa),"Actividad con culminación por objeto o meta delimitada: comerse la manzana, correr cinco kilómetros."
Rasgos,estático (stat),"0-1: cuánto se parece a un estado (sin dinámica interna)."
Rasgos,dinámico (dyn),"0-1: cuánta actividad/energía tiene la situación."
Rasgos,télico (tel),"0-1: si la situación tiene un punto final natural (culminación)."
Rasgos,puntual (pun),"0-1: si ocurre en un instante (sin duración interna)."
Rasgos,confianza,"Qué tan segura está la clasificación (0-1). Bajo 0.6: revisar."
Estructura Lógica,EL / LS,"Estructura Lógica: la representación semántica formal de la oración en RRG."
Estructura Lógica,EL formal,"Versión con variables x/y/z asignadas por posición semántica: la plantilla abstracta."
Estructura Lógica,EL léxica,"Versión con las palabras reales de la oración."
Estructura Lógica,do',"Marca de actividad con efector: do'(x [correr'(x)])."
Estructura Lógica,CAUSE,"Une la causa con el efecto: [do'(x Ø)] CAUSE [BECOME roto'(y)]."
Estructura Lógica,BECOME,"Cambio de estado gradual (realizaciones)."
Estructura Lógica,INGR,"Cambio de estado instantáneo (logros)."
Estructura Lógica,SEML,"Evento semelfactivo (puntual sin resultado)."
Estructura Lógica,PURP,"Propósito: en benefactivas ('le compró X a Y' = obtiene X CON PROPÓSITO de que Y lo tenga)."
Estructura Lógica,Ø,"Argumento inespecificado: nadie en particular ('Se venden casas' → do'(Ø Ø))."
Árbol RRG,sustantivo,"Categoría léxica nominal: palabra que designa una entidad, participante o concepto."
Árbol RRG,verbo,"Categoría léxica verbal: palabra que expresa una situación, acción o estado."
Árbol RRG,preposición,"Categoría léxica que introduce y relaciona un complemento."
Árbol RRG,NUC,"Núcleo de la proyección de constituyentes; contiene el predicado."
Árbol RRG,PRED,"Predicado léxico del núcleo."
Estructura Lógica,have',"Posesión: have'(María regalo) = María tiene el regalo."
Participantes,Actor,"Macropapel del participante que ejecuta/origina (el 'sujeto lógico')."
