lema,oracion
escuchar,se escucha un ruido afuera
vender,Se venden casas
deber,Pero la existencia de dos recién nacidos en la misma caja sólo podía deber se a un descuido de fábrica .
salir,La fuerza se le sale por los poros y no la puede contener .
lanzar,"De hecho , se han lanzado numerosas conjeturas sin demostración científica alguna , ya que la falta de recubrimiento en los anfibios ( lo cual , por otra parte , les hace muy resbaladizos para sus depredadores , faceta de gran utilidad para su supervivencia ) , y las pieles cubiertas de pelo , lana o cerdas de los mamíferos , muy especializadas y perfeccionadas y sin claros precursores en la carrera evolutiva , hacen la comparación más problemática ."
convertir,"Su atractiva imagen , pese a resultar casi insultante de cerca , se convierte en prácticamente invisible de lejos ."
decir,"Se dice que un problema de celos provocados por la actitud excesivamente galante hacia su mujer de el barón Georges d'Anthes , un realista francés asiduo de los salones de sociedad ."
entregar,A cada residente de el campo se le entrega un cupón .
encontrar,En muchas tan sólo se encuentra un saco con ropa .
quedar,A Corcuera sólo le queda su puesto como miembro de el comité federal de el PSOE .
basar,"El prestigio de las aves desde la paloma hasta el águila , el quetzal y el albatros se basa en que pueden vencer fácilmente la gravedad y viven entre la tierra y el cielo ."
desarrollar,Los acontecimientos se desarrollaron hacia las seis y media de la tarde de el viernes .
encontrar,La tarde de autos don Antonio se encontraba en su casa cuando sonó el timbre de la puerta .
colar,El sol se colaba por entre las rendijas de la persiana metálica y cortaba la penumbra en lonchas de luz apelusada .
leer,"Debajo se podía leer un turbio mensaje , faltan 923 días para terminar esta obra ."
quejar,"Sin embargo , la clase media china no se suele quejar verbalmente sobre el aire tóxico de ciudades como Pekín , que ven día tras día un humo asfixiante ."
mostrar,Los sindicatos se han mostrado muy combativos y han pedido en reiteradas ocasiones derogar la norma de la que Fátima Báñez se siente más orgullosa .
vender,se vendieron muchas casas
prohibir,se le prohibió el paso
vender,se venden casas
prohibir,se les prohibi+o la salida
vender,se venden casas baratas
esconder,el perro se escondió por el ruido
vender,Se venden casas .
vender,Se vende casas .
vender,Se venden casas baratas .
vender,Se vende casas
vender,se venden tacos
comprar,se compran cosas viejas
